timestamp,label
20140213_134857792,pad
20140213_134858346,knuck
20140213_134859341,pad
20140213_134859819,pad
20140213_134900662,pad
20140213_134901538,knuck
20140213_134902160,knuck
20140213_134903121,pad
20140213_134903879,pad
20140213_134904653,pad
20140213_134906092,pad
20140213_134906653,pad
20140213_134907164,knuck
20140213_134907590,knuck
20140213_134907999,knuck
20140213_134908442,knuck
20140213_134908825,knuck
20140213_134909251,pad
20140213_134909719,pad
20140213_134910144,knuck
20140213_134913411,pad
20140213_134915272,pad
20140213_134915987,knuck
20140213_134916888,knuck
20140213_134917374,pad
20140213_134918063,pad
20140213_134918873,knuck
20140213_134919433,pad
20140213_134919960,knuck
20140213_134920692,pad
20140213_134921679,knuck
20140213_134922359,pad
20140213_134922770,knuck
20140213_134923227,knuck
20140213_134923882,pad
20140213_134924318,pad
20140213_134924674,pad
20140213_134925304,knuck
20140213_134925967,knuck
20140213_134926521,knuck
20140213_134927949,knuck
20140213_134928335,pad
20140213_134928962,pad
20140213_134929746,pad
20140213_134930333,pad
20140213_134930938,pad
20140213_134931244,pad
20140213_134931856,pad
20140213_134932326,knuck
20140213_134932971,knuck
20140213_134934113,pad
20140213_134934893,knuck
20140213_134935443,pad
20140213_134936713,knuck
20140213_134937373,knuck
20140213_134938122,knuck
20140213_134939142,knuck
20140213_134939683,pad
20140213_134940822,knuck
20140213_134941362,pad
20140213_134942423,knuck
20140213_134943032,pad
20140213_134943883,knuck
20140213_134944502,knuck
20140213_134945222,pad
20140213_134946593,knuck
20140213_134947232,knuck
20140213_134947882,pad
20140213_134948533,pad
20140213_134949472,knuck
20140213_134950433,pad
20140213_134950953,pad
20140213_134951482,pad
20140213_134952902,pad
20140213_134953712,knuck
20140213_134954263,pad
20140213_134954694,pad
20140213_134955463,pad
20140213_134955994,knuck
20140213_134957182,knuck
20140213_134958242,pad
20140213_134958983,knuck
20140213_134959423,pad
20140213_134959973,knuck
20140213_135001112,knuck
20140213_135001643,pad
20140213_135002322,pad
20140213_135002973,knuck
20140213_135003522,knuck
20140213_135004282,knuck
20140213_135005403,pad
20140213_135005843,pad
20140213_135006242,pad
20140213_135006713,knuck
20140213_135007372,knuck
20140213_135008313,pad
20140213_135009522,pad
20140213_135010442,pad
20140213_135010983,knuck
20140213_135011632,pad
20140213_135028602,knuck
20140213_135030962,knuck
20140213_135032443,knuck
20140213_135033023,pad
20140213_135033932,knuck
20140213_135034382,pad
20140213_135035113,knuck
20140213_135035603,knuck
20140213_135036192,pad
20140213_135036693,pad
20140213_135037442,knuck
20140213_135037933,pad
20140213_135038602,knuck
20140213_135039052,knuck
20140213_135039743,knuck
20140213_135040182,pad
20140213_135041072,knuck
20140213_135041694,knuck
20140213_135042243,knuck
20140213_135042972,knuck
20140213_135044253,knuck
20140213_135044862,pad
20140213_135045852,pad
20140213_135046374,pad
20140213_135047023,knuck
20140213_135047502,pad
20140213_135049004,knuck
20140213_135050372,pad
20140213_135051152,pad
20140213_135051683,pad
20140213_135052223,pad
20140213_135054422,knuck
20140213_135055622,knuck
20140213_135056203,knuck
20140213_135057033,knuck
20140213_135058463,knuck
20140213_135059392,knuck
20140213_135059843,knuck
20140213_135100472,pad
20140213_135100914,knuck
20140213_135101413,knuck
20140213_135101904,knuck
20140213_135102492,pad
20140213_135102913,knuck
20140213_135103402,pad
20140213_135103973,pad
20140213_135104692,knuck
20140213_135105273,knuck
20140213_135105863,pad
20140213_135110612,pad
20140213_135111993,knuck
20140213_135112633,knuck
20140213_135113293,knuck
20140213_135113743,knuck
20140213_135114403,knuck
20140213_135114902,pad
20140213_135821540,knuck
20140213_135822060,pad
20140213_135822528,knuck
20140213_135822800,knuck
20140213_135823226,knuck
20140213_135823515,knuck
20140213_135823763,knuck
20140213_135824435,knuck
20140213_135824708,pad
20140213_135824997,knuck
20140213_135825756,pad
20140213_135826061,pad
20140213_135826436,knuck
20140213_135826853,knuck
20140213_135827092,knuck
20140213_135827654,knuck
20140213_135827977,knuck
20140213_135828277,pad
20140213_135828549,knuck
20140213_135828847,pad
20140213_135829810,knuck
20140213_135830048,knuck
20140213_135830312,knuck
20140213_135830627,pad
20140213_135830926,knuck
20140213_135831300,knuck
20140213_135831658,knuck
20140213_135832075,knuck
20140213_135832348,knuck
20140213_135832560,knuck
20140213_135833378,knuck
20140213_135833660,pad
20140213_135834018,pad
20140213_135834282,knuck
20140213_135834793,knuck
20140213_135835024,pad
20140213_135835245,knuck
20140213_135835543,pad
20140213_135835895,knuck
20140213_135836148,knuck
20140213_135836915,knuck
20140213_135837187,pad
20140213_135837596,knuck
20140213_135838081,pad
20140213_135838294,pad
20140213_135838551,pad
20140213_135838992,knuck
20140213_135839333,knuck
20140213_135839606,knuck
20140213_135839879,knuck
20140213_135841643,pad
20140213_135842073,pad
20140213_135842602,knuck
20140213_135843262,pad
20140213_135843712,knuck
20140213_135844222,pad
20140213_135844652,knuck
20140213_135845482,knuck
20140213_135845962,knuck
20140213_135846883,pad
20140213_135847404,knuck
20140213_135848093,knuck
20140213_135848772,knuck
20140213_135849352,knuck
20140213_135849852,knuck
20140213_135850263,pad
20140213_135850693,knuck
20140213_135851652,pad
20140213_135852183,knuck
20140213_135853202,knuck
20140213_135853692,knuck
20140213_135854282,knuck
20140213_135854942,pad
20140213_135855904,knuck
20140213_135856612,pad
20140213_135857263,knuck
20140213_135858142,knuck
20140213_135858853,pad
20140213_135859313,pad
20140213_135900183,knuck
20140213_135901003,pad
20140213_135901592,pad
20140213_135902162,pad
20140213_135902712,pad
20140213_135903202,knuck
20140213_135903933,pad
20140213_135904322,knuck
20140213_135904993,pad
20140213_135905642,knuck
20140213_135906582,knuck
20140213_135907134,knuck
20140213_135907633,pad
20140213_135908342,pad
20140213_135909032,knuck
20140213_135909692,pad
20140213_135910223,knuck
20140213_135910622,pad
20140213_135911363,knuck
20140213_135912003,pad
20140213_135913192,pad
20140213_135913764,pad
20140213_135914313,pad
20140213_135914843,knuck
20140213_135915303,pad
